home_team,wins,wc_total,wins_per_wc
Belgium,6,2,3.0
Russia,3,1,3.0
Colombia,3,1,3.0
Croatia,3,1,3.0
Germany,11,4,2.75
Argentina,8,3,2.6666666666666665
France,5,2,2.5
Brazil,10,4,2.5
Netherlands,7,3,2.3333333333333335
Italy,2,1,2.0
Uruguay,5,3,1.6666666666666667
Sweden,3,2,1.5
Portugal,4,3,1.3333333333333333
Australia,1,1,1.0
Korea Republic,2,2,1.0
Mexico,1,1,1.0
Costa Rica,1,1,1.0
Nigeria,2,2,1.0
C̫te d'Ivoire,2,2,1.0
Chile,2,2,1.0
Saudi Arabia,1,1,1.0
Slovakia,1,1,1.0
South Africa,1,1,1.0
Spain,2,2,1.0
Greece,1,1,1.0
Switzerland,2,2,1.0
England,1,1,1.0
